Team,GM,Asst/TO Ratio,APG,Bench PPG,BKPG,EFG%,Fastbreak PPG,FG%,OPP FG%,PFPG,Avg FTPG,FT%,RPG,OPP RPG,REB MAR,DRPG,ORPG,PPG,OPP PPG,SCR MAR,STPG,3PTAPG,3FG%,OPP 3FG%,3PTPG,TO Ratio,TO Forced PG,TOPG,W,L,W%
UConn,34,1.88,18.5,16.24,5.4,0.571,12.62,49.6,39.803,16.2,19.5,74.25,38.5,30.1,8,26.85,11.62,81.5,64.4,17,6.2,24,36.69,31.9,8.8,0.9,10.71,9.9,31,3,91.2
Virginia,33,1.86,15.2,17.36,5.1,0.493,5.36,43.36,40.159,13.5,13.9,63.7,32.8,34.5,-1,24,8.82,63.6,59.6,4,7.1,18.1,36.29,30.4,6.6,3.8,11.97,8.2,23,10,69.7
Colorado St.,34,1.82,18.4,17.97,3.2,0.554,12.41,48.83,43.2,17.1,18.3,75.4,32.9,32.9,0,25.12,7.76,76.4,68.4,8,6.5,21.9,34.05,33.1,7.4,1.6,11.74,10.1,24,10,70.6
Northwestern,32,1.79,15.7,11.22,3.3,0.532,6,45.91,45.021,17.8,17.1,74.82,31.2,33.3,-2,22.75,8.41,73.7,69,4,6.9,21.1,39.41,35.9,8.3,3.6,12.31,8.8,21,11,65.6
BYU,33,1.74,18.6,33.3,3,0.551,12.18,46.23,42.63,17.7,16.1,73.77,39.6,33.5,6,27.7,11.94,81.8,69.9,11,5.9,32.2,34.81,31.8,11.2,0.5,11.21,10.7,23,10,69.7
Auburn,34,1.7,18,34.06,6.2,0.541,13.65,47.53,38.442,19.2,23.2,75.19,37.9,34.6,3,26.59,11.29,83.3,68,15,7.4,22.8,35.23,29.8,8,2.3,12.88,10.6,27,7,79.4
Gonzaga,32,1.69,16.6,19.03,4,0.572,14.44,51.64,40.527,15.7,19.4,72.1,38.9,31.6,7,28,10.94,84.9,69,15,6.9,19.3,35.38,33.4,6.8,1.8,11.53,9.8,25,7,78.1
Michigan St.,33,1.67,16.3,17.85,3.9,0.515,14.36,46.07,41.228,16.5,17.6,70.57,34.6,33.8,0,24.45,10.18,73.1,65.9,7,7.2,17.8,35.95,32.8,6.4,2.7,12.48,9.8,19,14,57.6
Kentucky,32,1.65,17.6,32.97,6.3,0.574,15.66,49.69,42.94,17.5,19.7,77.27,37.6,36.7,0,27.53,10.03,89.4,79.7,9,7.7,24.1,41.19,32.6,9.9,1.3,12,10.7,23,9,71.9
Drake,34,1.64,15.9,15.47,1.6,0.552,10.06,47.87,44.422,16.1,19.6,76.01,34.4,32.6,1,26.47,7.94,80.5,70.5,9,6.4,23.6,36.69,32.9,8.7,2.6,12.29,9.7,28,6,82.4
Tennessee,32,1.63,16.8,19.06,4.7,0.515,12.34,44.43,38.93,17.4,21.2,74.93,38.8,35.2,3,27.12,11.69,79.5,67.9,11,7.9,25.5,34.19,31.4,8.7,3.1,13.34,10.3,24,8,75
Kansas,32,1.62,18.8,11.88,3.9,0.537,12.69,48.83,40.385,14.6,18.6,72.73,36,33.6,2,27.94,8.03,75.2,68.7,6,7.3,17.1,32.91,33.2,5.6,0.2,11.81,11.6,22,10,68.8
Creighton,32,1.62,17.1,11.12,4.1,0.575,9.88,48.65,42.006,11.3,14.7,78.13,37.9,33.5,4,29.62,8.31,80.5,69.7,10,4,29.3,36.1,32.2,10.6,-2.8,7.75,10.6,23,9,71.9
Yale,31,1.61,15.2,15.35,3.3,0.53,9.29,46.97,41.473,15,16.2,70.86,37.1,32.3,4,27.03,10.06,75.2,66.6,8,6,20.9,34.72,33.2,7.3,1.5,10.94,9.5,22,9,71
Purdue,33,1.6,18.4,17.67,3.8,0.56,7.39,48.83,41.86,14.4,25,72.12,40.4,29.6,10,28.21,12.15,83.4,70.2,13,5.7,20.4,40.8,31.4,8.3,-1.7,9.76,11.5,29,4,87.9
Saint Mary's (CA),33,1.6,16.2,16.48,3.9,0.534,6.27,46.91,39.531,16.2,16.9,67.8,39.5,27.5,12,26.39,13.15,74.2,58.7,15,6.5,21.5,35.45,31.5,7.6,0.7,10.85,10.1,26,7,78.8
Marquette,34,1.59,15.8,15.44,3.2,0.551,13.06,47.83,42.443,15.4,15.6,71.51,32.8,35.6,-2,24.03,8.76,78.3,69.7,8,8.6,24.7,35.83,33.6,8.9,4.8,14.71,9.9,25,9,73.5
Duke,32,1.59,15.4,15.19,3.7,0.552,11.34,48.15,43.221,15.8,20,72.19,36.5,31.5,5,26,10.53,79.8,67.4,12,6.4,22.1,37.71,32.6,8.3,1.7,11.44,9.7,24,8,75
Arizona,33,1.55,18.6,23.18,3.5,0.55,16.42,48.9,42.289,16.3,23.7,71.87,42.6,32.1,10,29.39,13.24,87.9,72.2,15,8.3,21.1,37.12,33.4,7.8,1.5,13.52,12,25,8,75.8
Col. of Charleston,34,1.54,15.3,30.03,3.1,0.524,9.18,44.27,44.006,15.8,17.6,72.03,39.7,35.2,4,26.76,12.94,80.5,72.5,7,6.2,30.6,34.46,33.6,10.5,1.6,11.56,9.9,27,7,79.4
McNeese,33,1.54,15,25.76,3.4,0.558,13.7,49.27,38.496,17.3,22,69.15,36.1,32.6,3,24.97,11.15,80.4,61.5,18,10.4,19.7,38.83,31.4,7.6,6.7,16.45,9.8,30,3,90.9
James Madison,34,1.52,16.4,24.09,3,0.549,11,48,41.341,17.2,21.1,70.75,38.9,33.8,5,27.26,11.59,84.4,69.2,15,9,24,36.47,28.8,8.8,3.7,14.44,10.8,31,3,91.2
South Carolina,33,1.52,15.4,18.03,3.2,0.508,5.06,43.89,42.712,16,18.4,71.38,35.9,32.7,3,24.39,11.48,72,67,5,4.8,23.8,33.5,33.6,8,-0.3,9.76,10.1,26,7,78.8
Nevada,33,1.51,15.1,16.97,3.6,0.536,7.73,47.5,41.739,17.7,24.8,72.13,34.5,32.7,1,25.55,8.91,76.4,67.1,9,6.2,18.3,36.48,31.8,6.7,1.9,11.91,10,26,7,78.8
Vermont,34,1.5,13.7,23.18,3.9,0.533,5.97,45.64,40.578,13.8,16.5,72.01,34.9,33.7,1,27.18,7.71,72.3,63,9,5.8,25.2,34.38,31.4,8.7,0.9,10.06,9.1,28,6,82.4
New Mexico,35,1.49,14.8,18.54,5,0.51,14.8,45.99,42.156,17.6,21.5,70.92,39.6,35.3,4,26.91,12.71,81.7,70.5,11,8.8,19.7,33.43,30.3,6.6,4.2,14.14,9.9,26,9,74.3
